sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid,race-sex
0,31,25 - 45,0,0,0,0,2,F,Grand Theft (Motor Vehicle),1,African-American-Female
0,33,25 - 45,1,0,0,0,7,M,Battery,1,Caucasian-Female
1,32,25 - 45,0,0,0,0,1,F,False Ownership Info/Pawn Item,0,African-American-Male
1,22,Less than 25,0,0,0,0,0,F,Crimin Mischief Damage $1000+,1,Hispanic-Male
1,21,Less than 25,1,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,Caucasian-Male
1,52,Greater than 45,0,0,0,0,2,F,arrest case no charge,1,Other-Male
1,49,Greater than 45,1,0,0,0,2,M,Battery,1,Caucasian-Male
1,22,Less than 25,0,0,0,0,0,F,Uttering a Forged Instrument,1,African-American-Male
1,45,Greater than 45,0,0,0,0,0,F,Grand Theft (Motor Vehicle),1,Hispanic-Male
1,28,25 - 45,0,0,0,0,5,M,Possess Cannabis/20 Grams Or Less,1,African-American-Male
1,21,Less than 25,0,0,0,0,1,F,Grand Theft in the 3rd Degree,0,African-American-Male
1,37,25 - 45,0,0,0,1,2,M,Exposes Culpable Negligence,1,Hispanic-Male
1,28,25 - 45,0,2,1,0,11,F,Fleeing Or Attmp Eluding A Leo,1,African-American-Male
1,24,Less than 25,0,0,0,0,1,F,Driving While License Revoked,1,African-American-Male
1,32,25 - 45,0,1,3,0,24,F,Driving While License Revoked,0,African-American-Male
0,24,Less than 25,0,0,0,0,1,F,Grand Theft in the 3rd Degree,1,African-American-Female
1,57,Greater than 45,0,0,0,0,19,F,Felony Driving While Lic Suspd,1,African-American-Male
1,21,Less than 25,0,0,0,0,0,M,Prowling/Loitering,1,Other-Male
1,28,25 - 45,1,0,0,0,0,F,Counterfeit Lic Plates/Sticker,1,Caucasian-Male
1,51,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,25,25 - 45,0,0,1,0,6,M,arrest case no charge,1,African-American-Male
1,19,Less than 25,1,0,0,0,0,M,Battery,0,Caucasian-Male
1,57,Greater than 45,0,0,0,0,27,M,arrest case no charge,1,African-American-Male
0,27,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
1,66,Greater than 45,1,0,0,0,1,M,arrest case no charge,1,Caucasian-Male
1,21,Less than 25,1,0,0,0,0,F,arrest case no charge,1,Caucasian-Male
1,45,Greater than 45,1,0,0,0,1,F,Possession of Cocaine,1,Caucasian-Male
1,37,25 - 45,0,2,3,0,24,F,Burglary With Assault/battery,1,African-American-Male
1,64,Greater than 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,30,25 - 45,0,0,0,0,1,F,Deliver Cocaine,0,African-American-Male
1,61,Greater than 45,0,0,0,0,1,M,arrest case no charge,1,African-American-Male
0,49,Greater than 45,1,0,0,0,8,F,arrest case no charge,1,Caucasian-Female
1,23,Less than 25,0,0,0,0,0,F,Tampering With Physical Evidence,1,African-American-Male
1,21,Less than 25,1,0,0,0,0,F,Sale/Del Cannabis At/Near Scho,0,Caucasian-Male
1,26,25 - 45,0,0,0,1,7,M,Battery,1,Hispanic-Male
1,27,25 - 45,0,0,0,1,2,M,Possess Cannabis/20 Grams Or Less,1,African-American-Male
1,38,25 - 45,1,0,0,0,1,M,Battery,1,Caucasian-Male
1,26,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,23,Less than 25,1,0,0,1,2,F,Poss of Firearm by Convic Felo,1,Caucasian-Male
0,36,25 - 45,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,African-American-Female
1,58,Greater than 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Male
0,35,25 - 45,1,0,0,0,4,F,Felony Battery w/Prior Convict,1,Caucasian-Female
1,23,Less than 25,0,0,0,0,3,F,Burglary Unoccupied Dwelling,1,African-American-Male
1,40,25 - 45,1,0,0,0,1,F,Attempted Robbery  No Weapon,1,Caucasian-Male
1,31,25 - 45,0,0,0,0,3,F,Tamper With Witness/Victim/CI,1,Hispanic-Male
0,34,25 - 45,0,0,0,0,5,F,Live on Earnings of Prostitute,1,Hispanic-Female
0,26,25 - 45,0,0,0,0,3,F,Burglary With Assault/battery,1,African-American-Female
1,49,Greater than 45,0,0,0,0,1,F,Felony Battery (Dom Strang),1,African-American-Male
0,47,Greater than 45,0,0,0,0,0,M,Battery,1,Hispanic-Female
1,47,Greater than 45,0,0,0,0,6,F,Att Tamper w/Physical Evidence,1,African-American-Male
1,27,25 - 45,0,0,0,0,10,F,arrest case no charge,1,African-American-Male
0,52,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,25,25 - 45,0,0,0,1,9,F,Driving While License Revoked,1,African-American-Male
1,51,Greater than 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
0,29,25 - 45,0,0,0,0,1,M,Refuse to Supply DNA Sample,1,African-American-Female
1,46,Greater than 45,1,0,0,0,0,F,Stalking (Aggravated),1,Caucasian-Male
1,28,25 - 45,1,0,0,0,6,F,Grand Theft in the 3rd Degree,1,Caucasian-Male
1,57,Greater than 45,0,0,0,0,0,F,Felony Battery (Dom Strang),1,African-American-Male
1,23,Less than 25,0,0,0,0,2,F,Sel/Pur/Mfr/Del Control Substa,1,Hispanic-Male
1,27,25 - 45,0,0,0,0,3,F,arrest case no charge,1,African-American-Male
1,31,25 - 45,1,0,0,0,1,F,Grand Theft in the 3rd Degree,0,Caucasian-Male
1,37,25 - 45,0,0,0,0,8,F,Burglary Unoccupied Dwelling,1,African-American-Male
1,51,Greater than 45,0,0,0,0,0,F,Possession of Cocaine,0,African-American-Male
1,28,25 - 45,0,0,1,0,8,F,Resist Officer w/Violence,1,African-American-Male
1,56,Greater than 45,1,0,0,0,4,F,Possession of Cocaine,1,Caucasian-Male
1,26,25 - 45,1,0,0,0,7,F,Burglary Dwelling Occupied,0,Caucasian-Male
1,33,25 - 45,1,0,0,0,7,F,Felony Battery (Dom Strang),0,Caucasian-Male
1,23,Less than 25,1,0,0,3,0,M,Battery,1,Caucasian-Male
1,31,25 - 45,0,0,0,0,0,M,Poss Drugs W/O A Prescription,1,African-American-Male
1,31,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
1,19,Less than 25,0,1,0,0,1,F,arrest case no charge,1,Hispanic-Male
1,32,25 - 45,1,0,0,0,0,F,Aggravated Assault W/o Firearm,1,Caucasian-Male
1,66,Greater than 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Male
0,40,25 - 45,0,0,0,0,0,F,Grand Theft in the 1st Degree,1,African-American-Female
1,59,Greater than 45,0,0,0,0,4,M,Battery,1,African-American-Male
1,27,25 - 45,0,0,0,0,3,M,Leave Accd/Attend Veh/Less $50,1,African-American-Male
1,22,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,58,Greater than 45,1,0,0,0,1,F,Fel Drive License Perm Revoke,1,Caucasian-Male
1,29,25 - 45,1,0,0,0,2,F,Grand Theft in the 3rd Degree,1,Caucasian-Male
1,27,25 - 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,African-American-Male
1,24,Less than 25,1,0,0,0,0,F,Possession Of Alprazolam,1,Caucasian-Male
0,35,25 - 45,1,0,1,0,3,F,Aggrav Battery w/Deadly Weapon,1,Caucasian-Female
1,30,25 - 45,0,1,0,0,5,F,Aggravated Assault W/dead Weap,0,African-American-Male
1,23,Less than 25,0,0,1,1,1,F,Possession Burglary Tools,1,African-American-Male
1,32,25 - 45,1,0,0,0,2,F,Possession Of Heroin,0,Caucasian-Male
1,22,Less than 25,1,0,0,0,2,F,arrest case no charge,1,Caucasian-Male
1,21,Less than 25,0,0,0,0,0,M,Battery,1,African-American-Male
0,43,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,29,25 - 45,0,0,0,0,0,F,Poss of Cocaine W/I/D/S 1000FT Park,1,African-American-Male
1,43,25 - 45,0,0,0,0,1,F,Robbery Sudd Snatch No Weapon,1,African-American-Male
1,25,25 - 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,47,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
0,21,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Female
1,54,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,34,25 - 45,0,0,0,1,3,F,Lewd Act Presence Child 16-,0,African-American-Male
0,28,25 - 45,0,0,0,0,2,M,Battery,1,African-American-Female
1,54,Greater than 45,0,0,0,0,0,M,Soliciting For Prostitution,1,African-American-Male
1,34,25 - 45,0,0,0,0,2,F,Felony Driving While Lic Suspd,1,African-American-Male
1,22,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,51,Greater than 45,0,0,0,0,3,F,Felony Driving While Lic Suspd,1,African-American-Male
1,28,25 - 45,0,0,0,1,5,M,arrest case no charge,1,African-American-Male
1,43,25 - 45,1,0,0,0,4,M,Battery,1,Caucasian-Male
1,45,Greater than 45,0,0,0,0,1,M,Battery,1,Hispanic-Male
1,41,25 - 45,0,0,0,0,1,M,Aggrav Battery w/Deadly Weapon,1,Hispanic-Male
1,25,25 - 45,0,20,0,0,24,F,arrest case no charge,0,Other-Male
1,35,25 - 45,0,0,1,0,12,F,Aggravated Assault W/Dead Weap,1,Hispanic-Male
1,24,Less than 25,0,0,0,0,0,M,Battery,1,Asian-Male
1,28,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Hispanic-Male
1,29,25 - 45,0,0,1,0,13,F,Poss Pyrrolidinovalerophenone,0,African-American-Male
1,26,25 - 45,0,0,0,0,9,F,Drivg While Lic Suspd/Revk/Can,0,African-American-Male
1,31,25 - 45,0,0,0,0,0,M,Viol Prot Injunc Repeat Viol,1,Other-Male
1,28,25 - 45,1,0,0,0,0,F,"Deliver 3,4 Methylenediox",1,Caucasian-Male
1,44,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,42,25 - 45,0,0,0,0,7,M,Driving License Suspended,1,African-American-Male
1,39,25 - 45,0,0,0,0,5,F,Grand Theft in the 3rd Degree,1,African-American-Male
0,46,Greater than 45,0,0,0,0,2,F,Grand Theft in the 3rd Degree,1,Hispanic-Female
1,55,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
0,31,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,25,25 - 45,0,0,0,0,0,F,Poss Tetrahydrocannabinols,1,African-American-Male
1,32,25 - 45,1,0,0,2,6,M,Refuse Submit Blood/Breath Test,1,Caucasian-Male
1,36,25 - 45,0,0,0,0,2,F,Driving While License Revoked,1,African-American-Male
1,39,25 - 45,1,0,0,0,2,M,Driving Under The Influence,1,Caucasian-Male
0,26,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
0,22,Less than 25,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,Other-Female
1,37,25 - 45,1,0,0,0,3,M,Driving Under The Influence,1,Caucasian-Male
1,41,25 - 45,1,0,0,0,9,M,Battery,1,Caucasian-Male
1,25,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,58,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,44,25 - 45,0,2,0,0,19,M,Battery,0,African-American-Male
1,28,25 - 45,0,0,0,0,1,F,Aggrav Stalking After Injunctn,1,African-American-Male
1,54,Greater than 45,1,0,0,0,0,F,Agg Battery Grt/Bod/Harm,1,Caucasian-Male
1,43,25 - 45,1,0,0,0,0,M,DUI Property Damage/Injury,1,Caucasian-Male
1,31,25 - 45,0,0,0,0,5,M,Battery,1,African-American-Male
1,30,25 - 45,0,4,1,0,11,F,Pos Cannabis W/Intent Sel/Del,1,African-American-Male
1,24,Less than 25,0,0,0,0,0,M,Possess Drug Paraphernalia,1,African-American-Male
1,43,25 - 45,1,0,0,0,0,M,Susp Drivers Lic 1st Offense,1,Caucasian-Male
1,24,Less than 25,0,0,0,0,11,F,Solicit Deliver Cocaine,0,Hispanic-Male
1,23,Less than 25,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,African-American-Male
1,27,25 - 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Male
1,66,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
0,36,25 - 45,1,0,0,1,3,F,Possession of Cocaine,1,Caucasian-Female
0,22,Less than 25,0,0,0,0,0,M,Battery,0,African-American-Female
1,25,25 - 45,0,0,0,1,1,F,Crimin Mischief Damage $1000+,1,Hispanic-Male
1,56,Greater than 45,0,0,0,0,4,F,Possession of Cocaine,1,African-American-Male
0,58,Greater than 45,0,0,0,0,3,M,arrest case no charge,1,African-American-Female
1,24,Less than 25,1,0,1,2,3,M,DUI Level 0.15 Or Minor In Veh,1,Caucasian-Male
1,22,Less than 25,0,0,0,0,0,F,Burglary Dwelling Armed,0,African-American-Male
1,39,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,23,Less than 25,1,0,0,0,0,M,Viol Pretrial Release Dom Viol,0,Caucasian-Male
1,39,25 - 45,0,0,0,0,6,F,Burglary Unoccupied Dwelling,1,Other-Male
1,25,25 - 45,0,0,0,0,0,F,Felony Battery,1,African-American-Male
1,26,25 - 45,0,0,0,0,6,F,arrest case no charge,1,African-American-Male
1,25,25 - 45,0,0,0,1,2,F,Possession Burglary Tools,1,African-American-Male
1,36,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,35,25 - 45,0,0,0,0,7,F,Resist Officer w/Violence,0,African-American-Male
1,22,Less than 25,0,0,0,0,2,F,Crim Use of Personal ID Info,0,African-American-Male
1,25,25 - 45,1,0,0,0,0,F,Aggravated Battery,1,Caucasian-Male
1,36,25 - 45,0,0,0,0,0,M,Operating W/O Valid License,1,Hispanic-Male
1,24,Less than 25,0,0,0,0,2,M,Susp Drivers Lic 1st Offense,0,African-American-Male
1,29,25 - 45,1,0,0,0,0,M,DUI Property Damage/Injury,1,Caucasian-Male
1,50,Greater than 45,1,0,0,0,8,F,DWI w/Inj Susp Lic / Habit Off,1,Caucasian-Male
1,27,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Male
1,21,Less than 25,0,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,0,Hispanic-Male
1,58,Greater than 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,27,25 - 45,0,0,0,0,4,F,"Deliver 3,4 Methylenediox",1,African-American-Male
0,31,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,24,Less than 25,0,0,0,0,3,M,arrest case no charge,1,African-American-Male
1,43,25 - 45,1,0,0,0,0,M,DUI- Enhanced,1,Caucasian-Male
1,23,Less than 25,0,0,0,0,0,F,Burglary Unoccupied Dwelling,1,African-American-Male
1,42,25 - 45,1,0,0,0,0,M,Driving Under The Influence,1,Caucasian-Male
1,30,25 - 45,0,0,3,0,18,M,Battery,1,African-American-Male
1,29,25 - 45,0,0,0,0,1,F,False Imprisonment,1,African-American-Male
1,26,25 - 45,1,0,0,1,3,M,Petit Theft $100- $300,1,Caucasian-Male
1,51,Greater than 45,0,0,0,0,5,M,Driving License Suspended,1,African-American-Male
1,36,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
1,62,Greater than 45,0,0,0,0,0,M,Battery,1,Hispanic-Male
1,35,25 - 45,0,0,0,0,1,M,Violation License Restrictions,1,African-American-Male
1,22,Less than 25,1,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,Caucasian-Male
1,40,25 - 45,0,0,0,0,0,F,Stalking (Aggravated),1,African-American-Male
1,36,25 - 45,0,0,0,0,2,F,Possession of Cocaine,1,African-American-Male
1,69,Greater than 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Caucasian-Male
1,27,25 - 45,0,0,1,0,1,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,27,25 - 45,0,0,0,0,1,F,Throw Deadly Missile Into Veh,1,African-American-Male
0,24,Less than 25,0,0,0,0,6,M,arrest case no charge,1,African-American-Female
1,42,25 - 45,1,0,0,0,0,F,Aggravated Assault w/Firearm,1,Caucasian-Male
1,25,25 - 45,1,0,0,0,1,F,Burglary Conveyance Unoccup,1,Caucasian-Male
1,25,25 - 45,0,0,0,0,0,F,Uttering a Forged Instrument,1,African-American-Male
1,22,Less than 25,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,African-American-Male
1,21,Less than 25,1,0,0,0,0,F,Burglary Structure Unoccup,1,Caucasian-Male
1,30,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,46,Greater than 45,1,0,0,0,9,M,Battery,1,Caucasian-Male
1,26,25 - 45,0,0,0,0,2,M,Battery,1,African-American-Male
1,40,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,34,25 - 45,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Male
1,28,25 - 45,0,0,0,0,3,M,arrest case no charge,1,Hispanic-Male
1,59,Greater than 45,1,0,0,0,3,M,Driving Under The Influence,0,Caucasian-Male
1,37,25 - 45,0,0,0,0,0,F,"Aggr Child Abuse-Torture,Punish",1,Native American-Male
1,50,Greater than 45,0,0,0,0,0,F,Aggravated Battery / Pregnant,1,African-American-Male
1,57,Greater than 45,0,0,0,0,8,F,Felony Battery w/Prior Convict,0,African-American-Male
1,31,25 - 45,0,0,0,0,5,M,Assault,1,African-American-Male
1,44,25 - 45,0,0,0,0,9,F,Grand Theft in the 3rd Degree,1,African-American-Male
0,25,25 - 45,1,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Caucasian-Female
1,51,Greater than 45,0,0,0,0,5,M,arrest case no charge,1,African-American-Male
1,57,Greater than 45,1,0,0,0,2,F,arrest case no charge,1,Caucasian-Male
1,55,Greater than 45,1,0,0,0,0,M,DUI - Enhanced,1,Caucasian-Male
0,42,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,African-American-Female
1,21,Less than 25,0,0,0,0,0,F,Purchase Cannabis,1,Other-Male
0,24,Less than 25,0,0,0,0,0,M,Battery,1,Hispanic-Female
1,42,25 - 45,0,0,0,0,1,F,Tampering With Physical Evidence,1,African-American-Male
1,21,Less than 25,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,58,Greater than 45,1,0,0,0,0,M,DUI Blood Alcohol Above 0.20,1,Caucasian-Male
1,46,Greater than 45,0,0,0,0,2,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,35,25 - 45,0,0,0,0,4,M,Battery,1,African-American-Male
1,42,25 - 45,0,0,0,0,2,F,Possession of Cocaine,1,African-American-Male
1,32,25 - 45,0,0,0,1,8,F,Aggravated Battery / Pregnant,1,African-American-Male
1,31,25 - 45,0,0,0,0,5,F,Grand Theft in the 3rd Degree,1,Other-Male
0,33,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Female
1,25,25 - 45,1,0,0,0,4,F,Robbery / No Weapon,1,Caucasian-Male
0,33,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
1,21,Less than 25,0,0,0,0,1,F,arrest case no charge,1,Hispanic-Male
1,56,Greater than 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,38,25 - 45,1,0,0,0,0,M,Battery,0,Caucasian-Male
0,40,25 - 45,0,0,0,0,4,M,arrest case no charge,1,African-American-Female
1,28,25 - 45,0,0,0,1,4,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,51,Greater than 45,0,0,0,0,0,M,Battery,1,African-American-Male
1,35,25 - 45,0,0,0,0,2,M,Battery,1,African-American-Male
1,61,Greater than 45,0,0,0,0,5,F,Possession of Cocaine,1,African-American-Male
1,25,25 - 45,0,0,0,0,0,F,Poss Unlaw Issue Driver Licenc,1,African-American-Male
1,26,25 - 45,0,0,0,0,0,M,Petit Theft,1,African-American-Male
1,42,25 - 45,1,0,0,0,1,M,Battery,1,Caucasian-Male
0,25,25 - 45,0,0,0,0,1,F,Grand Theft in the 3rd Degree,1,African-American-Female
1,31,25 - 45,0,0,0,0,9,F,Poss of Methylethcathinone,1,African-American-Male
1,35,25 - 45,1,0,0,1,1,F,Possession of Cocaine,1,Caucasian-Male
1,34,25 - 45,1,0,0,0,0,F,Lewd/Lasc Battery Pers 12+/<16,1,Caucasian-Male
0,33,25 - 45,1,0,0,0,1,M,Battery,1,Caucasian-Female
1,30,25 - 45,0,0,0,1,3,F,Carrying Concealed Firearm,1,African-American-Male
0,50,Greater than 45,0,0,0,0,7,M,Battery,1,African-American-Female
1,21,Less than 25,0,0,0,0,0,F,Burglary Dwelling Armed,1,African-American-Male
0,23,Less than 25,0,0,0,0,0,M,Battery,1,African-American-Female
1,25,25 - 45,0,0,0,0,1,F,Burglary Conveyance Unoccup,1,African-American-Male
0,24,Less than 25,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Female
1,60,Greater than 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,30,25 - 45,0,0,0,0,2,F,arrest case no charge,1,African-American-Male
0,32,25 - 45,0,0,0,0,0,M,Battery,1,Other-Female
1,46,Greater than 45,1,0,0,0,0,M,Driving Under The Influence,1,Caucasian-Male
1,21,Less than 25,1,0,0,1,0,M,Battery,0,Caucasian-Male
1,35,25 - 45,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,African-American-Male
1,28,25 - 45,0,0,0,0,2,M,Resist/Obstruct W/O Violence,1,African-American-Male
1,46,Greater than 45,1,0,0,1,2,M,Possess Cannabis/20 Grams Or Less,1,Caucasian-Male
1,56,Greater than 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,24,Less than 25,0,0,0,0,1,M,Battery,0,African-American-Male
0,33,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,48,Greater than 45,1,0,0,0,2,M,arrest case no charge,1,Caucasian-Male
1,25,25 - 45,0,0,0,0,0,F,Poss Contr Subst W/o Prescript,1,Hispanic-Male
1,37,25 - 45,0,0,0,0,0,F,Tamper With Witness/Victim/CI,0,Hispanic-Male
0,43,25 - 45,1,0,0,0,7,F,Agg Battery Grt/Bod/Harm,1,Caucasian-Female
1,32,25 - 45,1,0,0,0,0,F,Driving While License Revoked,1,Caucasian-Male
1,33,25 - 45,0,0,0,0,3,F,arrest case no charge,1,Other-Male
1,49,Greater than 45,1,0,0,0,4,F,Aggravated Assault w/Firearm,1,Caucasian-Male
1,24,Less than 25,1,0,0,0,0,F,Robbery W/Deadly Weapon,1,Caucasian-Male
1,26,25 - 45,0,0,0,0,1,F,Grand Theft (Motor Vehicle),1,African-American-Male
1,42,25 - 45,1,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,Caucasian-Male
1,36,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Hispanic-Male
1,29,25 - 45,1,0,0,1,7,M,Battery,0,Caucasian-Male
1,39,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,53,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,21,Less than 25,0,0,0,0,0,F,Burglary Structure Unoccup,0,Other-Male
1,41,25 - 45,0,0,0,0,4,F,Child Abuse,1,African-American-Male
1,22,Less than 25,1,0,0,2,5,F,Possession Of Alprazolam,0,Caucasian-Male
1,22,Less than 25,1,0,0,2,0,F,Grand Theft (Motor Vehicle),0,Caucasian-Male
1,25,25 - 45,0,0,0,0,2,F,Pos Cannabis W/Intent Sel/Del,1,African-American-Male
1,51,Greater than 45,0,0,0,0,2,F,arrest case no charge,1,Other-Male
1,24,Less than 25,0,0,0,1,0,F,Possession of Cannabis,1,African-American-Male
1,37,25 - 45,0,0,0,0,4,F,arrest case no charge,1,African-American-Male
1,37,25 - 45,1,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Caucasian-Male
0,27,25 - 45,0,0,0,0,0,M,Battery,1,Other-Female
1,21,Less than 25,0,0,0,0,0,F,Robbery / No Weapon,1,Other-Male
1,35,25 - 45,0,0,0,0,1,F,Aggravated Battery / Pregnant,0,African-American-Male
0,24,Less than 25,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Female
1,49,Greater than 45,1,0,0,0,2,M,DUI Property Damage/Injury,1,Caucasian-Male
1,38,25 - 45,0,0,0,0,9,F,arrest case no charge,1,African-American-Male
1,61,Greater than 45,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Other-Male
0,30,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
1,22,Less than 25,0,0,0,0,3,F,Battery on a Person Over 65,1,African-American-Male
1,52,Greater than 45,1,0,0,0,0,M,Driving Under The Influence,1,Caucasian-Male
1,26,25 - 45,1,0,0,0,0,F,Aggravated Battery / Pregnant,1,Caucasian-Male
1,26,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
1,29,25 - 45,0,0,0,0,4,F,arrest case no charge,1,African-American-Male
1,26,25 - 45,1,0,0,0,2,F,D.U.I. Serious Bodily Injury,1,Caucasian-Male
0,46,Greater than 45,0,0,0,0,4,F,arrest case no charge,1,African-American-Female
0,46,Greater than 45,0,0,0,0,0,F,Felony Driving While Lic Suspd,1,African-American-Female
1,29,25 - 45,0,0,0,0,12,F,Possession of Cocaine,0,African-American-Male
1,41,25 - 45,1,0,0,0,0,M,DUI Property Damage/Injury,1,Caucasian-Male
0,25,25 - 45,0,0,0,0,5,F,Poss Anti-Shoplifting Device,1,African-American-Female
1,23,Less than 25,0,1,0,0,2,F,Deliver Cocaine,1,African-American-Male
1,30,25 - 45,1,0,0,0,0,M,DUI Property Damage/Injury,1,Caucasian-Male
1,34,25 - 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Male
1,52,Greater than 45,1,0,0,0,2,F,arrest case no charge,1,Caucasian-Male
1,51,Greater than 45,0,0,0,0,4,M,Susp Drivers Lic 1st Offense,1,African-American-Male
0,49,Greater than 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Female
0,47,Greater than 45,1,0,0,0,0,F,Battery on Law Enforc Officer,1,Caucasian-Female
1,27,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Male
1,21,Less than 25,0,0,0,0,0,F,Burglary Structure Unoccup,1,African-American-Male
1,30,25 - 45,1,0,0,0,3,F,Crimin Mischief Damage $1000+,0,Caucasian-Male
1,70,Greater than 45,1,0,0,0,0,M,DUI Property Damage/Injury,1,Caucasian-Male
1,38,25 - 45,0,0,0,0,15,F,Aggravated Assault w/Firearm,1,African-American-Male
1,29,25 - 45,0,0,0,0,0,F,Crim Use of Personal ID Info,1,African-American-Male
1,38,25 - 45,0,0,0,0,3,F,Possession of Cocaine,1,Hispanic-Male
0,27,25 - 45,1,0,0,0,0,F,Possession of Cannabis,1,Caucasian-Female
1,44,25 - 45,0,0,0,0,0,M,Driving Under The Influence,1,Hispanic-Male
1,31,25 - 45,1,0,0,0,6,M,Battery,1,Caucasian-Male
0,30,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
1,40,25 - 45,0,0,0,0,3,F,Driving While License Revoked,1,African-American-Male
1,33,25 - 45,1,0,0,0,1,M,Susp Drivers Lic 1st Offense,1,Caucasian-Male
1,31,25 - 45,0,0,1,0,1,M,Possess Cannabis/20 Grams Or Less,1,Hispanic-Male
1,61,Greater than 45,1,0,0,0,1,M,DUI Property Damage/Injury,1,Caucasian-Male
1,30,25 - 45,1,0,0,0,2,F,Use Of 2 Way Device To Fac Fel,1,Caucasian-Male
1,62,Greater than 45,1,0,0,0,0,M,Assault,1,Caucasian-Male
1,48,Greater than 45,1,0,0,0,9,F,Grand Theft (Motor Vehicle),1,Caucasian-Male
0,40,25 - 45,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Female
